面向代號,面向代號,問題,症狀與徵兆,,
D1.環境面向,D1,1,1,low/no income,低或無收入
D1.環境面向,D1,1,2,uninsured medical expenses,沒有醫療保險
D1.環境面向,D1,1,3,inadequate money manaement,錢財管理困難
D1.環境面向,D1,1,4,able to buy only necessities,僅能維持日常所需
D1.環境面向,D1,1,5,difficulty buying necessities,連日常所需都無力維持
D1.環境面向,D1,1,6,other,其他
D1.環境面向,D1,2,1,soiled living area,髒亂的生活區
D1.環境面向,D1,2,2,inadequate food storage/disposal,缺乏存糧/缺乏備餐能力
D1.環境面向,D1,2,3,insects/rodents,昆蟲/囓齒動物(老鼠?)
D1.環境面向,D1,2,4,foul odor,惡臭
D1.環境面向,D1,2,5,inadequate water supply,水源不足
D1.環境面向,D1,2,6,inadequate sewage disposal,汙水處理不足
D1.環境面向,D1,2,7,inadequate laundry facilities,洗衣設施不足
D1.環境面向,D1,2,8,allergens,過敏原
D1.環境面向,D1,2,9,infectious/contaminating agents,傳染源/汙染物
D1.環境面向,D1,2,10,presence of mold,TBD
D1.環境面向,D1,2,11,excessive pets,過多寵物
D1.環境面向,D1,2,12,other,
D1.環境面向,D1,3,2,inadequate heating/cooling,不足的冷暖氣
D1.環境面向,D1,3,3,steep/unsafe stairs,很陡/不安全的階梯
D1.環境面向,D1,3,4,inadequate/obstructed exits/entries,缺乏/不通的進出口
D1.環境面向,D1,3,5,cluttered living space,雜物遍布
D1.環境面向,D1,3,6,unsafe storage of dangerous objects/substances,儲存危險物品/物質
D1.環境面向,D1,3,7,unsafe mats/throw rugs,不安全的地墊/滑動的地毯
D1.環境面向,D1,3,8,inadequate safety devices,缺乏安源的裝備
D1.環境面向,D1,3,9,presence of lead-based paint,空間以鉛基油漆塗裝
D1.環境面向,D1,3,10,unsafe appliances/equiptment,不安全的用具/設備
D1.環境面向,D1,3,11,inadequate/crowded living space,不足/擁擠的生活空間
D1.環境面向,D1,3,12,exposed wiring,管線外露
D1.環境面向,D1,3,13,structural barriers,結構性障礙
D1.環境面向,D1,3,14,homeless,無家可歸
D1.環境面向,D1,3,15,other,其他
D1.環境面向,D1,4,1,high crime rate,高犯罪率
D1.環境面向,D1,4,2,high pollution level,高汙染等級
D1.環境面向,D1,4,3,uncontrolled/dangerous/infected animals,不受控/危險的/帶病的動物
D1.環境面向,D1,4,4,inadequate/unsafe play/exercise areas,不足的/不安全遊戲場或運動場
D1.環境面向,D1,4,5,inadequate space/resources to foster health,不足的空間與資源促進健康
D1.環境面向,D1,4,6,threats/reports of violence,正在或被通報遭受暴力
D1.環境面向,D1,4,7,physical hazards,物理性危害
D1.環境面向,D1,4,8,vehicle/traffic hazards,車輛/交通危害
D1.環境面向,D1,4,9,chemical hazards,化學性危害
D1.環境面向,D1,4,10,radiological hazards,放射線危害
D1.環境面向,D1,3,1,structurally unsound,不穩固的建築
D2.心理社會面向,D2,1,1,unfamiliar with options/procedures for obtaining services,難以理解服務提供者的角色與法規限制
D2.心理社會面向,D2,1,2,difficulty understanding roles/regulations of service providers,不知如何向服務提供者提出訴求
D2.心理社會面向,D2,1,3,unable to communicate concerns to provider,不滿服務
D2.心理社會面向,D2,1,4,dissatisfaction with services,缺乏可及資源
D2.心理社會面向,D2,1,5,inadequate/unavailable resources,語言阻礙
D2.心理社會面向,D2,1,6,language barrier,文化阻礙
D2.心理社會面向,D2,1,7,cultural barrier,教育阻礙
